uid,has_overdue,week,order_no,create_time,application_amount
1,0,6,83267774925955723,2020-11-29 19:32:00,460000.00
1,0,6,83267872755127636,2020-12-06 14:35:35,680000.00
1,0,5,9267958228909012,2020-12-12 13:02:36,460000.00
1,0,6,83267971638238760,2020-12-13 11:23:16,800000.00
1,1,5,9268058473941147,2020-12-19 12:07:54,740000.00
1,0,5,83268065308237391,2020-12-19 23:30:15,510000.00
2,0,6,9264247512735807,2020-03-29 20:31:02,200000.00
2,0,0,9265970645850518,2020-07-27 12:24:46,160000.00
2,0,0,9266478835562630,2020-08-31 19:23:07,320000.00
2,0,3,9266721521212626,2020-09-17 15:52:13,320000.00
2,0,2,9266909726222840,2020-09-30 17:32:19,480000.00
2,0,5,9267354821446211,2020-10-31 15:22:35,480000.00
2,0,3,9267528286532736,2020-11-12 16:28:54,580000.00
2,0,4,83267642026267395,2020-11-20 14:02:21,400000.00
2,0,5,9267758209797542,2020-11-28 15:40:34,850000.00
2,0,0,83267786479681574,2020-11-30 14:47:24,580000.00
2,0,1,83267902988680355,2020-12-08 16:58:08,800000.00
2,1,5,9267961137580040,2020-12-12 17:53:14,850000.00
2,0,1,82268000472669852,2020-12-15 11:27:07,380000.00
2,0,1,83268003087411782,2020-12-15 15:48:58,620000.00
2,1,0,83268090935872131,2020-12-21 18:13:55,620000.00
2,1,1,82268105508872320,2020-12-22 18:30:05,750000.00
3,0,6,9266058306257392,2020-08-02 14:30:22,160000.00
3,0,2,9266105053978275,2020-08-05 20:25:04,160000.00
3,0,1,9266792342773508,2020-09-22 13:54:33,420000.00
3,1,4,9267236573728409,2020-10-23 10:17:43,420000.00
3,1,4,9267741647036595,2020-11-27 12:04:34,740000.00
3,0,0,83267889244477878,2020-12-07 18:04:04,400000.00
3,0,2,82267913036378778,2020-12-09 09:43:18,340000.00
3,0,6,81267973967643814,2020-12-13 15:16:51,400000.00
3,0,6,106267974358439557,2020-12-13 15:55:31,500000.00
3,0,0,83267986304341083,2020-12-14 11:50:40,510000.00
3,1,0,83268086773705051,2020-12-21 11:17:30,510000.00
3,0,1,164268100251363034,2020-12-22 09:46:37,300000.00
3,0,1,107268100343603544,2020-12-22 09:56:02,320000.00
3,0,1,117268103133612646,2020-12-22 14:35:13,500000.00
4,0,5,9264230788053476,2020-03-28 16:38:18,200000.00
4,0,1,106267194756322392,2020-10-20 12:35:20,300000.00
4,0,3,81267424934686075,2020-11-05 12:13:17,210000.00
4,0,3,9267427348709875,2020-11-05 16:14:59,410000.00
4,0,2,81267515195829323,2020-11-11 18:39:29,480000.00
4,0,4,82267541238077111,2020-11-13 14:03:55,370000.00
4,0,2,81267613722653010,2020-11-18 14:52:30,630000.00
4,0,3,83267630386352067,2020-11-19 18:38:28,460000.00
4,0,4,9267641855915066,2020-11-20 13:45:54,460000.00
4,0,2,81267716247329490,2020-11-25 17:44:52,680000.00
4,0,3,83267729413227715,2020-11-26 15:41:43,580000.00
4,0,4,83267844605919334,2020-12-04 15:40:50,510000.00
4,1,4,9267846324091420,2020-12-04 18:32:02,510000.00
4,0,4,83267946272032960,2020-12-11 17:07:30,510000.00
4,1,4,83268045882526014,2020-12-18 15:08:55,510000.00
5,0,2,81267111445109093,2020-10-14 17:44:25,210000.00
5,0,2,81267215298236100,2020-10-21 22:49:26,320000.00
5,0,2,81267308335795088,2020-10-28 09:53:07,320000.00
5,0,1,81267401958072078,2020-11-03 21:55:27,320000.00
5,0,1,81267499339607210,2020-11-10 16:13:01,320000.00
5,0,1,81267598965701831,2020-11-17 14:16:04,320000.00
5,0,0,81267686164175966,2020-11-23 15:36:18,680000.00
5,0,0,81267786961881299,2020-11-30 15:36:28,800000.00
5,0,1,83267798108709335,2020-12-01 10:10:08,340000.00
5,0,2,105267812859575512,2020-12-02 10:45:13,500000.00
5,0,0,81267887066725678,2020-12-07 14:26:55,800000.00
5,0,1,83267899432152300,2020-12-08 11:03:16,570000.00
5,0,0,81267986944782168,2020-12-14 12:54:09,800000.00
5,0,1,83267999734159386,2020-12-15 10:13:55,620000.00
5,0,4,104268046138976047,2020-12-18 15:56:54,400000.00
5,0,4,165268046386602347,2020-12-18 15:59:12,500000.00
5,1,5,9268058096167541,2020-12-19 11:29:00,400000.00
5,0,5,109268058184887934,2020-12-19 11:38:50,400000.00
5,0,0,104268086511113779,2020-12-21 10:51:05,400000.00
5,1,0,81268088256460387,2020-12-21 13:45:21,800000.00
5,0,1,105268100918924674,2020-12-22 10:51:08,500000.00
5,0,1,83268103508282120,2020-12-22 15:10:08,570000.00
6,0,3,106266622884018009,2020-09-10 19:37:32,300000.00
6,1,4,9268044166073254,2020-12-18 12:16:43,340000.00
